aaba	æː b æ
kabashada	k æ b æ ʃ æ d æ
kabaxay	k æ b æ ħ æ j
kabayare	k æ b æ j æ r e
kabello	k æ b e l l ɔ
kablalah	k æ b l æ l æ h
kabo	k æ b ɔ
kabor	k æ b ɔ r
kabriid	k æ b r iː d
kabsuuma	k æ b s uː m æ
kabul	k æ b u l
kabwe	k æ b w e
kabxaanley	k æ b ħ æː n l e j
kabxanley	k æ b ħ æ n l e j
kac	k æ ʕ
kacaan	k æ ʕ æː n
kacaanka	k æ ʕ æː n k æ
kacab	k æ ʕ æ b
kacay	k æ ʕ æ j
kacbada	k æ ʕ b æ d æ
kacbo	k æ ʕ b ɔ
kacdoon	k æ ʕ d ɔː n
kacdoonka	k æ ʕ d ɔː n k æ
kacdoonkii	k æ ʕ d ɔː n k iː
kacem	k æ ʕ e m
kachera	k æ ʕ h e r æ
kacsi	k æ ʕ s i
kacungira	k æ ʕ u n ɡ i r æ
kadaab	k æ d æː b
kader	k æ d e r
kadigia	k æ d i ɡ i æ
kadiil	k æ d iː l
kadiye	k æ d i j e
kadri	k æ d r i
kaduudiye	k æ d uː d i j e
kaede	k æ e d e
kaen	k æ e n
kaffy	k æ f f j
kafka	k æ f k æ
kaftan	k æ f t æ n
kafue	k æ f u e
kagame	k æ ɡ æ m e
kaganof	k æ ɡ æ n ɔ f
kagera	k æ ɡ e r æ
kaggia	k æ ɡ ɡ i æ
kagiso	k æ ɡ i s ɔ
kahi	k æ h i
kahramanmara	k æ h r æ m æ n m æ r æ
kahveci	k æ h e ʕ i
kai	k æ i
kaida	k æ i d æ
kaie	k æ i e
kaif	k æ i f
kaikyo	k æ i k j ɔ
kaiser	k æ i s e r
kajeeda	k æ d͡ʒ eː d æ
kajol	k æ d͡ʒ ɔ l
kakan	k æ k æ n
kakoma	k æ k ɔ m æ
kakusa	k æ k u s æ
kal	k æ l
kala	k æ l æ
kalaay	k æ l æː j
kalabaydh	k æ l æ b æ j ɖ
kalabayr	k æ l æ b æ j r
kaladogaraam	k æ l æ d ɔ ɡ æ r æː m
kaladogaram	k æ l æ d ɔ ɡ æ r æ m
kalagoyn	k æ l æ ɡ ɔ j n
kalahari	k æ l æ h æ r i
kalamaan	k æ l æ m æː n
kalamicne	k æ l æ m i ʕ n e
kalandar	k æ l æ n d æ r
kalandarka	k æ l æ n d æ r k æ
kalanga	k æ l æ n ɡ æ
kalank	k æ l æ n k
kalashnikov	k æ l æ ʃ n i k ɔ
kalasin	k æ l æ s i n
kalba	k æ l b æ
kalechad	k æ l e ʕ h æ d
kalgaraf	k æ l ɡ æ r æ f
kali	k æ l i
kaliber	k æ l i b e r
kalid	k æ l i d
kalifornia	k æ l i f ɔ r n i æ
kaliforniya	k æ l i f ɔ r n i j æ
kaligiimaadhle	k æ l i ɡ iː m æː ɖ l e
kaliil	k æ l iː l
kalilu	k æ l i l u
kalis	k æ l i s
kalissaye	k æ l i s s æ j e
kalk	k æ l k
kalkaalisada	k æ l k æː l i s æ d æ
kallela	k æ l l e l æ
kalluun	k æ l l uː n
kalluuna	k æ l l uː n æ
kalmac	k æ l m æ ʕ
kaloki	k æ l ɔ k i
kalsheekh	k æ l ʃ eː χ
kalsooni	k æ l s ɔː n i
kalsoonida	k æ l s ɔː n i d æ
kaltanka	k æ l t æ n k æ
kaluun	k æ l uː n
kamala	k æ m æ l æ
kamale	k æ m æ l e
kamanga	k æ m æ n ɡ æ
kamarka	k æ m æ r k æ
kambaala	k æ m b æː l æ
kambodiya	k æ m b ɔ d i j æ
kamboni	k æ m b ɔ n i
kambooni	k æ m b ɔː n i
kambriyaan	k æ m b r i j æː n
kambriyan	k æ m b r i j æ n
kambule	k æ m b u l e
kameelah	k æ m eː l æ h
kamel	k æ m e l
kamembe	k æ m e m b e
kameroon	k æ m e r ɔː n
kamil	k æ m i l
kamila	k æ m i l æ
kamiruun	k æ m i r uː n
kamnarok	k æ m n æ r ɔ k
kamogelo	k æ m ɔ ɡ e l ɔ
kampala	k æ m æ l æ
kamsar	k æ m s æ r
kamsuuma	k æ m s uː m æ
kamunzuku	k æ m u n u k u
kamuronza	k æ m u r ɔ n æ
kamuzu	k æ m u u
kan	k æ n
kana	k æ n æ
kanaalka	k æ n æː l k æ
kanada	k æ n æ d æ
kanazawa	k æ n æ æ w æ
kanbera	k æ n b e r æ
kandake	k æ n d æ k e
kandise	k æ n d i s e
kandodo	k æ n d ɔ d ɔ
kandyse	k æ n d j s e
kaneeco	k æ n eː ʕ ɔ
kang	k æ n ɡ
kangaroo	k æ n ɡ æ r ɔː
kani	k æ n i
kaniif	k æ n iː f
kaniini	k æ n iː n i
kaniisad	k æ n iː s æ d
kaniisada	k æ n iː s æ d æ
kanjuruhan	k æ n d͡ʒ u r u h æ n
kannada	k æ n n æ d æ
kannemeyer	k æ n n e m e j e r
kanooni	k æ n ɔː n i
kanooniga	k æ n ɔː n i ɡ æ
kansar	k æ n s æ r
kansas	k æ n s æ s
kanyaboli	k æ n j æ b ɔ l i
kanye	k æ n j e
kanzigiri	k æ n i ɡ i r i
kao	k æ ɔ
kaohsiung	k æ ɔ h s i u n ɡ
kapasia	k æ æ s i æ
kapchits	k æ ʕ h i t s
kape	k æ e
kapoor	k æ ɔː r
kara	k æ r æ
karaaji	k æ r æː d͡ʒ i
karaban	k æ r æ b æ n
karabiya	k æ r æ b i j æ
karachi	k æ r æ ʕ h i
karamaan	k æ r æ m æː n
karan	k æ r æ n
karanja	k æ r æ n d͡ʒ æ
karanle	k æ r æ n l e
karbalaa	k æ r b æ l æː
karbon	k æ r b ɔ n
kardashian	k æ r d æ ʃ i æ n
kardka	k æ r d k æ
kareemka	k æ r eː m k æ
kareena	k æ r eː n æ
karel	k æ r e l
kargil	k æ r ɡ i l
kariim	k æ r iː m
kariimka	k æ r iː m k æ
kariin	k æ r iː n
karim	k æ r i m
karin	k æ r i n
karina	k æ r i n æ
karindabayl	k æ r i n d æ b æ j l
karinta	k æ r i n t æ
karka	k æ r k æ
karkaar	k æ r k æː r
karl	k æ r l
karlien	k æ r l i e n
karluv	k æ r l u
karmen	k æ r m e n
karnak	k æ r n æ k
karolina	k æ r ɔ l i n æ
karonga	k æ r ɔ n ɡ æ
karordheere	k æ r ɔ r ɖ eː r e
karshe	k æ r ʃ e
karst	k æ r s t
karti	k æ r t i
karum	k æ r u m
kasakhstan	k æ s æ χ s t æ n
kasbeeye	k æ s b eː j e
kashka	k æ ʃ k æ
kashmir	k æ ʃ m i r
kasjil	k æ s d͡ʒ i l
kass	k æ s s
kassim	k æ s s i m
kastuumo	k æ s t uː m ɔ
kasujja	k æ s u d͡ʒ d͡ʒ æ
kasum	k æ s u m
kat	k æ t
katalinta	k æ t æ l i n t æ
katalooniya	k æ t æ l ɔː n i j æ
katam	k æ t æ m
katavi	k æ t æ i
kate	k æ t e
katharina	k æ t h æ r i n æ
katherine	k æ t h e r i n e
kathiawadi	k æ t h i æ w æ d i
kathryn	k æ t h r j n
katiso	k æ t i s ɔ
katlego	k æ t l e ɡ ɔ
katrina	k æ t r i n æ
katseye	k æ t s e j e
katsuaki	k æ t s u æ k i
kattan	k æ t t æ n
katuta	k æ t u t æ
katy	k æ t j
kaukausib	k æ u k æ u s i b
kawakami	k æ w æ k æ m i
kawamoto	k æ w æ m ɔ t ɔ
kawnayn	k æ w n æ j n
kawsar	k æ w s æ r
kaxda	k æ ħ d æ
kay	k æ j
kaya	k æ j æ
kaydinta	k æ j d i n t æ
kaydiye	k æ j d i j e
kaydka	k æ j d k æ
kaydsan	k æ j d s æ n
kayene	k æ j e n e
kaylee	k æ j l eː
kaymaha	k æ j m æ h æ
kayne	k æ j n e
kayode	k æ j ɔ d e
kayse	k æ j s e
kayseri	k æ j s e r i
kayserispor	k æ j s e r i s ɔ r
kayula	k æ j u l æ
kayumbu	k æ j u m b u
kaywise	k æ j w i s e
kaz	k æ
kazakhstan	k æ æ χ s t æ n
kazuni	k æ u n i
kcee	k ʕ eː
kcon	k ʕ ɔ n
kddo	k d d ɔ
ke	k e
keane	k e æ n e
kebede	k e b e d e
keddara	k e d d æ r æ
kediye	k e d i j e
keeling	k eː l i n ɡ
keenadiid	k eː n æ d iː d
keenaya	k eː n æ j æ
keenaysa	k eː n æ j s æ
keenisyo	k eː n i s j ɔ
keentay	k eː n t æ j
kefallinia	k e f æ l l i n i æ
kefee	k e f eː
kehinde	k e h i n d e
kehna	k e h n æ
kekeghe	k e k e ɡ h e
kekere	k e k e r e
kelbia	k e l b i æ
kelfin	k e l f i n
keligii	k e l i ɡ iː
kellough	k e l l ɔ u ɡ h
kelly	k e l l j
kelvin	k e l i n
kelvinka	k e l i n k æ
kemal	k e m æ l
kemistari	k e m i s t æ r i
kemisteri	k e m i s t e r i
ken	k e n
kenan	k e n æ n
kendall	k e n d æ l l
kendell	k e n d e l l
kenema	k e n e m æ
kennedy	k e n n e d j
kenneth	k e n n e t h
kenya	k e n j æ
kenyatta	k e n j æ t t æ
keqiang	k e q i æ n ɡ
kerala	k e r æ l æ
kereetee	k e r eː t eː
kerem	k e r e m
kerkennah	k e r k e n n æ h
kerma	k e r m æ
kerr	k e r r
kerry	k e r r j
kerstr	k e r s t r
kesh	k e ʃ
keshia	k e ʃ i æ
keski	k e s k i
keskiqabe	k e s k i q æ b e
keskus	k e s k u s
kesses	k e s s e s
kestell	k e s t e l l
ketner	k e t n e r
ketogenic	k e t ɔ ɡ e n i ʕ
key	k e j
keyboard	k e j b ɔ æ r d
keydkooda	k e j d k ɔː d æ
keyn	k e j n
keynadiid	k e j n æ d iː d
keyqubaad	k e j q u b æː d
keysaneey	k e j s æ n eː j
kfai	k f æ i
kfc	k f ʕ
khaalid	χ æː l i d
khaameneey	χ æː m e n eː j
khaas	χ æː s
khaatumo	χ æː t u m ɔ
khabaab	χ æ b æː b
khadaab	χ æ d æː b
khadar	χ æ d æ r
khaddiija	χ æ d d iː d͡ʒ æ
khaddiijo	χ æ d d iː d͡ʒ ɔ
khadiija	χ æ d iː d͡ʒ æ
khadiijo	χ æ d iː d͡ʒ ɔ
khadija	χ æ d i d͡ʒ æ
khadra	χ æ d r æ
khadro	χ æ d r ɔ
khaid	χ æ i d
khair	χ æ i r
khal	χ æ l
khalaf	χ æ l æ f
khaldan	χ æ l d æ n
khalduun	χ æ l d uː n
khaleeji	χ æ l eː d͡ʒ i
khalifa	χ æ l i f æ
khaliif	χ æ l iː f
khaliifka	χ æ l iː f k æ
khaliifu	χ æ l iː f u
khaliijka	χ æ l iː d͡ʒ k æ
khalill	χ æ l i l l
khalkhal	χ æ l χ æ l
khamaarka	χ æ m æː r k æ
khamiir	χ æ m iː r
khamiis	χ æ m iː s
khamri	χ æ m r i
khamro	χ æ m r ɔ
khan	χ æ n
khaniisiyad	χ æ n iː s i j æ d
khaniisnimada	χ æ n iː s n i m æ d æ
khanyile	χ æ n j i l e
kharg	χ æ r ɡ
khariidadda	χ æ r iː d æ d d æ
kharijah	χ æ r i d͡ʒ æ h
kharles	χ æ r l e s
khartoum	χ æ r t ɔ u m
khartuum	χ æ r t uː m
khasaaro	χ æ s æː r ɔ
khasaaroro	χ æ s æː r ɔ r ɔ
khasnadaha	χ æ s n æ d æ h æ
khatab	χ æ t æ b
khatar	χ æ t æ r
khatoon	χ æ t ɔː n
khattab	χ æ t t æ b
khatumo	χ æ t u m ɔ
khawaarij	χ æ w æː r i d͡ʒ
khawaarismi	χ æ w æː r i s m i
khawlah	χ æ w l æ h
khaya	χ æ j æ
khaybar	χ æ j b æ r
khayr	χ æ j r
khayre	χ æ j r e
khazal	χ æ æ l
khazirka	χ æ i r k æ
khea	χ e æ
kheengz	χ eː n ɡ
kheman	χ e m æ n
khennoussi	χ e n n ɔ u s s i
kheybar	χ e j b æ r
kheyre	χ e j r e
kheyrudiin	χ e j r u d iː n
khilaafada	χ i l æː f æ d æ
khilaafadii	χ i l æː f æ d iː
khilaafka	χ i l æː f k æ
khilaafyo	χ i l æː f j ɔ
khitaan	χ i t æː n
khlo	χ l ɔ
khmer	χ m e r
khobar	χ ɔ b æ r
khoisan	χ ɔ i s æ n
khomeini	χ ɔ m e i n i
khon	χ ɔ n
khosi	χ ɔ s i
khoza	χ ɔ æ
khudaar	χ u d æː r
khulafada	χ u l æ f æ d æ
khulafadii	χ u l æ f æ d iː
khulafo	χ u l æ f ɔ
khulufada	χ u l u f æ d æ
khumalo	χ u m æ l ɔ
khumbize	χ u m b i e
khuraasaan	χ u r æː s æː n
khuraasaani	χ u r æː s æː n i
khurafaad	χ u r æ f æː d
khuram	χ u r æ m
khusuusi	χ u s uː s i
khuuri	χ uː r i
khuwaylid	χ u w æ j l i d
khuweylad	χ u w e j l æ d
khuzayma	χ u æ j m æ
khwarizm	χ w æ r i m
ki	k i
kia	k i æ
kibaki	k i b æ k i
kibir	k i b i r
kibirnimada	k i b i r n i m æ d æ
kibuye	k i b u j e
kibwera	k i b w e r æ
kidman	k i d m æ n
kidspace	k i d s æ ʕ e
kifaax	k i f æː ħ
kigali	k i ɡ æ l i
kigoma	k i ɡ ɔ m æ
kii	k iː
kiiboodhka	k iː b ɔː ɖ k æ
kiikhisroof	k iː χ i s r ɔː f
kiilogaraam	k iː l ɔ ɡ æ r æː m
kiilomitir	k iː l ɔ m i t i r
kiin	k iː n
kiinya	k iː n j æ
kiinyaati	k iː n j æː t i
kiir	k iː r
kiirshner	k iː r ʃ n e r
kijanebalola	k i d͡ʒ æ n e b æ l ɔ l æ
kikot	k i k ɔ t
kikuyu	k i k u j u
kilaab	k i l æː b
kilani	k i l æ n i
kildhi	k i l ɖ i
kilekwa	k i l e k w æ
kilifi	k i l i f i
kilimanjaaro	k i l i m æ n d͡ʒ æː r ɔ
kilimanjaro	k i l i m æ n d͡ʒ æ r ɔ
kilindini	k i l i n d i n i
kill	k i l l
kilombero	k i l ɔ m b e r ɔ
kilometer	k i l ɔ m e t e r
kilomitir	k i l ɔ m i t i r
kim	k i m
kimbundu	k i m b u n d u
kimigayo	k i m i ɡ æ j ɔ
kimikal	k i m i k æ l
kimikeed	k i m i k eː d
kimiko	k i m i k ɔ
kimis	k i m i s
kimistari	k i m i s t æ r i
kimisteri	k i m i s t e r i
kind	k i n d
kinda	k i n d æ
kindal	k i n d æ l
kindamba	k i n d æ m b æ
king	k i n ɡ
kingdom	k i n ɡ d ɔ m
kinicki	k i n i ʕ k i
kiniin	k i n iː n
kinokuniya	k i n ɔ k u n i j æ
kinshaasa	k i n ʃ æː s æ
kinshasa	k i n ʃ æ s æ
kinsi	k i n s i
kintirka	k i n t i r k æ
kinyarwanda	k i n j æ r w æ n d æ
kinza	k i n æ
kipawo	k i æ w ɔ
kiran	k i r æ n
kirara	k i r æ r æ
kirgistan	k i r ɡ i s t æ n
kiribati	k i r i b æ t i
kiribtoon	k i r i b t ɔː n
kiriiliga	k i r iː l i ɡ æ
kiril	k i r i l
kirishtaan	k i r i ʃ t æː n
kiristaan	k i r i s t æː n
kiristaanka	k i r i s t æː n k æ
kiristanka	k i r i s t æ n k æ
kiristiyano	k i r i s t i j æ n ɔ
kiristofer	k i r i s t ɔ f e r
kirundi	k i r u n d i
kisale	k i s æ l e
kishk	k i ʃ k
kismaayo	k i s m æː j ɔ
kismayo	k i s m æ j ɔ
kispest	k i s e s t
kiswahili	k i s w æ h i l i
kit	k i t
kitaab	k i t æː b
kitaabka	k i t æː b k æ
kitarovi	k i t æ r ɔ i
kitasato	k i t æ s æ t ɔ
kite	k i t e
kitty	k i t t j
kituba	k i t u b æ
kitulo	k i t u l ɔ
kivu	k i u
kiyaawe	k i j æː w e
kiymbi	k i j m b i
kiyomizu	k i j ɔ m i u
kizz	k i
klara	k l æ r æ
klaudia	k l æ u d i æ
klink	k l i n k
klintehamn	k l i n t e h æ m n
klm	k l m
klorofyll	k l ɔ r ɔ f j l l
km	k m
kmg	k m ɡ
knaan	k n æː n
kneiss	k n e i s s
knight	k n i ɡ h t
knocking	k n ɔ ʕ k i n ɡ
knowles	k n ɔ w l e s
knpc	k n ʕ
ko	k ɔ
kob	k ɔ b
koba	k ɔ b æ
kobalti	k ɔ b æ l t i
kobanhaygan	k ɔ b æ n h æ j ɡ æ n
kobash	k ɔ b æ ʃ
kobcin	k ɔ b ʕ i n
kobcinta	k ɔ b ʕ i n t æ
kobe	k ɔ b e
kober	k ɔ b e r
kobernishiyaam	k ɔ b e r n i ʃ i j æː m
kobra	k ɔ b r æ
kochi	k ɔ ʕ h i
kodjoe	k ɔ d d͡ʒ ɔ e
koffee	k ɔ f f eː
koh	k ɔ h
koigi	k ɔ i ɡ i
koka	k ɔ k æ
koki	k ɔ k i
koko	k ɔ k ɔ
kokorou	k ɔ k ɔ r ɔ u
kola	k ɔ l æ
kolapo	k ɔ l æ ɔ
kolbiyo	k ɔ l b i j ɔ
koleyga	k ɔ l e j ɡ æ
kolimanjaro	k ɔ l i m æ n d͡ʒ æ r ɔ
kolinda	k ɔ l i n d æ
kollington	k ɔ l l i n ɡ t ɔ n
koloane	k ɔ l ɔ æ n e
kolombiya	k ɔ l ɔ m b i j æ
kolombus	k ɔ l ɔ m b u s
kolonbo	k ɔ l ɔ n b ɔ
kolorado	k ɔ l ɔ r æ d ɔ
koloriin	k ɔ l ɔ r iː n
kolumbus	k ɔ l u m b u s
koma	k ɔ m æ
komatsu	k ɔ m æ t s u
kombe	k ɔ m b e
kombiyuutar	k ɔ m b i j uː t æ r
kombuyuutar	k ɔ m b u j uː t æ r
kombuyuuterka	k ɔ m b u j uː t e r k æ
komishanka	k ɔ m i ʃ æ n k æ
komla	k ɔ m l æ
kommonwels	k ɔ m m ɔ n w e l s
kommonwelth	k ɔ m m ɔ n w e l t h
komodo	k ɔ m ɔ d ɔ
komoros	k ɔ m ɔ r ɔ s
kompienga	k ɔ m i e n ɡ æ
konakri	k ɔ n æ k r i
konakry	k ɔ n æ k r j
konat	k ɔ n æ t
konektikat	k ɔ n e k t i k æ t
konfiig	k ɔ n f iː ɡ
kong	k ɔ n ɡ
kongeriket	k ɔ n ɡ e r i k e t
kongo	k ɔ n ɡ ɔ
konishi	k ɔ n i ʃ i
konkour	k ɔ n k ɔ u r
konservatism	k ɔ n s e r æ t i s m
konstantinoble	k ɔ n s t æ n t i n ɔ b l e
konteenarada	k ɔ n t eː n æ r æ d æ
konton	k ɔ n t ɔ n
konya	k ɔ n j æ
konyaspor	k ɔ n j æ s ɔ r
koob	k ɔː b
kooban	k ɔː b æ n
koobka	k ɔː b k æ
koodbuur	k ɔː d b uː r
koodh	k ɔː ɖ
koofi	k ɔː f i
koofiyad	k ɔː f i j æ d
koofur	k ɔː f u r
koofureed	k ɔː f u r eː d
koofurta	k ɔː f u r t æ
koog	k ɔː ɡ
kook	k ɔː k
koombe	k ɔː m b e
koombuyuterka	k ɔː m b u j u t e r k æ
koon	k ɔː n
koonfur	k ɔː n f u r
koonfured	k ɔː n f u r e d
koonfureed	k ɔː n f u r eː d
koonfurta	k ɔː n f u r t æ
koor	k ɔː r
koow	k ɔː w
koowaad	k ɔː w æː d
koox	k ɔː ħ
kooxaha	k ɔː ħ æ h æ
kooxda	k ɔː ħ d æ
kooxdii	k ɔː ħ d iː
kooxeed	k ɔː ħ eː d
kooyaame	k ɔː j æː m e
kordha	k ɔ r ɖ æ
kordhinta	k ɔ r ɖ i n t æ
kore	k ɔ r e
korea	k ɔ r e æ
koreaboo	k ɔ r e æ b ɔː
korean	k ɔ r e æ n
korebas	k ɔ r e b æ s
koriinka	k ɔ r iː n k æ
korjoognimo	k ɔ r d͡ʒ ɔː ɡ n i m ɔ
korkiisa	k ɔ r k iː s æ
korneyl	k ɔ r n e j l
koroma	k ɔ r ɔ m æ
korona	k ɔ r ɔ n æ
korontada	k ɔ r ɔ n t æ d æ
koronto	k ɔ r ɔ n t ɔ
koroomiyaam	k ɔ r ɔː m i j æː m
korowya	k ɔ r ɔ w j æ
korshe	k ɔ r ʃ e
korumal	k ɔ r u m æ l
korut	k ɔ r u t
korweeshiya	k ɔ r w eː ʃ i j æ
kosofo	k ɔ s ɔ f ɔ
kosoko	k ɔ s ɔ k ɔ
kosovo	k ɔ s ɔ ɔ
kosta	k ɔ s t æ
kostkov	k ɔ s t k ɔ
kothewali	k ɔ t h e w æ l i
kotsev	k ɔ t s e
koudiat	k ɔ u d i æ t
koukoutamba	k ɔ u k ɔ u t æ m b æ
koun	k ɔ u n
kourtney	k ɔ u r t n e j
kourzia	k ɔ u r i æ
kov	k ɔ
kow	k ɔ w
kowaad	k ɔ w æː d
kowneyn	k ɔ w n e j n
kowsar	k ɔ w s æ r
koya	k ɔ j æ
koykoy	k ɔ j k ɔ j
koza	k ɔ æ
kpa	k æ
kr	k r
kra	k r æ
krabi	k r æ b i
krak	k r æ k
kralji	k r æ l d͡ʒ i
krenzlin	k r e n l i n
krige	k r i ɡ e
kriistinah	k r iː s t i n æ h
kris	k r i s
kristian	k r i s t i æ n
kristina	k r i s t i n æ
kristine	k r i s t i n e
kristo	k r i s t ɔ
kristoffer	k r i s t ɔ f f e r
kroatia	k r ɔ æ t i æ
krog	k r ɔ ɡ
kroweeshiya	k r ɔ w eː ʃ i j æ
kruger	k r u ɡ e r
krypton	k r j t ɔ n
krystal	k r j s t æ l
krzeszowice	k r e s ɔ w i ʕ e
ksob	k s ɔ b
ku	k u
kuala	k u æ l æ
kubad	k u b æ d
kubada	k u b æ d æ
kubadda	k u b æ d d æ
kubai	k u b æ i
kubbad	k u b b æ d
kubbada	k u b b æ d æ
kubbadda	k u b b æ d d æ
kubdhaxaad	k u b ɖ æ ħ æː d
kubed	k u b e d
kubedka	k u b e d k æ
kubra	k u b r æ
kudhaa	k u ɖ æː
kudirat	k u d i r æ t
kudzanai	k u d æ n æ i
kufsi	k u f s i
kuijers	k u i d͡ʒ e r s
kuik	k u i k
kujir	k u d͡ʒ i r
kul	k u l
kula	k u l æ
kulan	k u l æ n
kulanka	k u l æ n k æ
kulaylaha	k u l æ j l æ h æ
kulaylka	k u l æ j l k æ
kulbiyoow	k u l b i j ɔː w
kuleyl	k u l e j l
kuleylka	k u l e j l k æ
kuligowski	k u l i ɡ ɔ w s k i
kuliyada	k u l i j æ d æ
kulliyadda	k u l l i j æ d d æ
kulmis	k u l m i s
kulmiye	k u l m i j e
kulpo	k u l ɔ
kulqaate	k u l q æː t e
kulul	k u l u l
kulule	k u l u l e
kulyada	k u l j æ d æ
kumaad	k u m æː d
kumari	k u m æ r i
kumbuyuutar	k u m b u j uː t æ r
kumbuyuutarada	k u m b u j uː t æ r æ d æ
kumbuyuutarrada	k u m b u j uː t æ r r æ d æ
kumeelgaarka	k u m eː l ɡ æː r k æ
kumri	k u m r i
kun	k u n
kundla	k u n d l æ
kunduz	k u n d u
kung	k u n ɡ
kunsanadeedyada	k u n s æ n æ d eː d j æ d æ
kuntuwarey	k u n t u w æ r e j
kunyabaroow	k u n j æ b æ r ɔː w
kur	k u r
kuray	k u r æ j
kurdi	k u r d i
kurdish	k u r d i ʃ
kurdistan	k u r d i s t æ n
kure	k u r e
kursi	k u r s i
kursika	k u r s i k æ
kurtumaaleey	k u r t u m æː l eː j
kurtumaleey	k u r t u m æ l eː j
kurtun	k u r t u n
kurtunwaarey	k u r t u n w æː r e j
kuruf	k u r u f
kurum	k u r u m
kuruweshiya	k u r u w e ʃ i j æ
kurxin	k u r ħ i n
kush	k u ʃ
kusheetik	k u ʃ eː t i k
kushiitiga	k u ʃ iː t i ɡ æ
kushiitigga	k u ʃ iː t i ɡ ɡ æ
kushiitik	k u ʃ iː t i k
kushitic	k u ʃ i t i ʕ
kushitik	k u ʃ i t i k
kuti	k u t i
kutiyote	k u t i j ɔ t e
kutub	k u t u b
kutubta	k u t u b t æ
kuuba	k uː b æ
kuufa	k uː f æ
kuulbeer	k uː l b eː r
kuuleey	k uː l eː j
kuurdi	k uː r d i
kuuriya	k uː r i j æ
kuuriyada	k uː r i j æ d æ
kuusik	k uː s i k
kuusow	k uː s ɔ w
kuwait	k u w æ i t
kuwala	k u w æ l æ
kuwayd	k u w æ j d
kuwayt	k u w æ j t
kuweeyt	k u w eː j t
kuwelho	k u w e l h ɔ
kuweyt	k u w e j t
kuxigeen	k u ħ i ɡ eː n
kwalia	k w æ l i æ
kwallu	k w æ l l u
kwamoti	k w æ m ɔ t i
kwanashie	k w æ n æ ʃ i e
kwania	k w æ n i æ
kwaraha	k w æ r æ h æ
kwazulu	k w æ u l u
kwesi	k w e s i
kwizera	k w i e r æ
kwon	k w ɔ n
kya	k j æ
kyema	k j e m æ
kyle	k j l e
kylian	k j l i æ n
kylie	k j l i e
kyoga	k j ɔ ɡ æ
kyomuhendo	k j ɔ m u h e n d ɔ
kyung	k j u n ɡ
la	l æ
laab	l æː b
laablakaco	l æː b l æ k æ ʕ ɔ
laac	l æː ʕ
laad	l æː d
laadan	l æː d æ n
laah	l æː h
laakiin	l æː k iː n
laalaada	l æː l æː d æ
laami	l æː m i
laan	l æː n
laanka	l æː n k æ
laanmadow	l æː n m æ d ɔ w
laanqayr	l æː n q æ j r
laanqayrta	l æː n q æ j r t æ
laanta	l æː n t æ
laanwaaleey	l æː n w æː l eː j
laas	l æː s
laasa	l æː s æ
laasadhagaxguduud	l æː s æ ɖ æ ɡ æ ħ ɡ u d uː d
laasasurad	l æː s æ s u r æ d
laascaanood	l æː s ʕ æː n ɔː d
laasciidle	l æː s ʕ iː d l e
laasdoomaare	l æː s d ɔː m æː r e
laasgeel	l æː s ɡ eː l
laasmuuse	l æː s m uː s e
laaso	l æː s ɔ
laasqoray	l æː s q ɔ r æ j
laasqorey	l æː s q ɔ r e j
laatiin	l æː t iː n
laatiinka	l æː t iː n k æ
laawaha	l æː w æ h æ
laawe	l æː w e
lab	l æ b
laba	l æ b æ
labaad	l æ b æː d
labaale	l æ b æː l e
labaaleey	l æ b æː l eː j
labaatan	l æ b æː t æ n
labaatanaad	l æ b æː t æ n æː d
labaataneeyadii	l æ b æː t æ n eː j æ d iː
labaatanka	l æ b æː t æ n k æ
labajibaarane	l æ b æ d͡ʒ i b æː r æ n e
labajibbaaran	l æ b æ d͡ʒ i b b æː r æ n
labeen	l æ b eː n
labile	l æ b i l e
labo	l æ b ɔ
labrador	l æ b r æ d ɔ r
labsarrayn	l æ b s æ r r æ j n
lacag	l æ ʕ æ ɡ
lacaga	l æ ʕ æ ɡ æ
lacagata	l æ ʕ æ ɡ æ t æ
lacagta	l æ ʕ æ ɡ t æ
lacey	l æ ʕ e j
lacrosse	l æ ʕ r ɔ s s e
laden	l æ d e n
ladenburger	l æ d e n b u r ɡ e r
ladipoe	l æ d i ɔ e
ladnaan	l æ d n æː n
lady	l æ d j
ladylord	l æ d j l ɔ r d
laf	l æ f
lafdhabar	l æ f ɖ æ b æ r
lafoole	l æ f ɔː l e
lafti	l æ f t i
lafweyn	l æ f w e j n
lag	l æ ɡ
laga	l æ ɡ æ
lagaqaaday	l æ ɡ æ q æː d æ j
lagata	l æ ɡ æ t æ
lagerl	l æ ɡ e r l
lagie	l æ ɡ i e
lagoon	l æ ɡ ɔː n
lagos	l æ ɡ ɔ s
lagu	l æ ɡ u
laguda	l æ ɡ u d æ
laguraqsay	l æ ɡ u r æ q s æ j
lahaa	l æ h æː
lahan	l æ h æ n
lahelay	l æ h e l æ j
laheyn	l æ h e j n
lahjad	l æ h d͡ʒ æ d
lahjadaha	l æ h d͡ʒ æ d æ h æ
lahjadda	l æ h d͡ʒ æ d d æ
laia	l æ i æ
laila	l æ i l æ
lailkase	l æ i l k æ s e
laird	l æ i r d
lais	l æ i s
laith	l æ i t h
lajiide	l æ d͡ʒ iː d e
lakab	l æ k æ b
lakabka	l æ k æ b k æ
lakki	l æ k k i
lakme	l æ k m e
lala	l æ l æ
lalisa	l æ l i s æ
