aa	a a
chunichi	t͡ʃ h u n i t͡ʃ h i
chunji	t͡ʃ h u n d͡ʒ̤ i
chupe	t͡ʃ h u p e
churaumi	t͡ʃ h u r a u m i
church	t͡ʃ h u r t͡ʃ h
churchkhela	t͡ʃ h u r t͡ʃ h k h e l a
churlinov	t͡ʃ h u r l i n o v
churrasco	t͡ʃ h u r r a s t͡ʃ o
churro	t͡ʃ h u r r o
chuseok	t͡ʃ h u s e o k
chutney	t͡ʃ h u t n e j
chuva	t͡ʃ h u v a
chuy	t͡ʃ h u j
chwee	t͡ʃ h w e e
chyntia	t͡ʃ h j n t i a
ci	t͡ʃ i
cia	t͡ʃ i a
ciabatta	t͡ʃ i a b̤ a t t a
ciambotta	t͡ʃ i a m b̤ o t t a
ciamis	t͡ʃ i a m i s
ciamp	t͡ʃ i a m p
ciampea	t͡ʃ i a m p e a
ciampel	t͡ʃ i a m p e l
cian	t͡ʃ i a n
cianjur	t͡ʃ i a n d͡ʒ̤ u r
ciaran	t͡ʃ i a r a n
ciasem	t͡ʃ i a s e m
ciauscolo	t͡ʃ i a u s t͡ʃ o l o
ciawi	t͡ʃ i a w i
ciawiasih	t͡ʃ i a w i a s i h
ciawigajah	t͡ʃ i a w i ɡ̤ a d͡ʒ̤ a h
ciawigebang	t͡ʃ i a w i ɡ̤ e b̤ a ŋ
ciawijapura	t͡ʃ i a w i d͡ʒ̤ a p u r a
ciba	t͡ʃ i b̤ a
cibadhak	t͡ʃ i b̤ a ɖ̤ a k
cibal	t͡ʃ i b̤ a l
cibaliung	t͡ʃ i b̤ a l i u ŋ
cibalong	t͡ʃ i b̤ a l o ŋ
cibalung	t͡ʃ i b̤ a l u ŋ
cibangkong	t͡ʃ i b̤ a ŋ k o ŋ
cibarusah	t͡ʃ i b̤ a r u s a h
cibatu	t͡ʃ i b̤ a t u
cibeber	t͡ʃ i b̤ e b̤ e r
cibelok	t͡ʃ i b̤ e l o k
cibendhung	t͡ʃ i b̤ e n ɖ̤ u ŋ
cibendung	t͡ʃ i b̤ e n d̪̤ u ŋ
cibentang	t͡ʃ i b̤ e n t a ŋ
ciberem	t͡ʃ i b̤ e r e m
ciberung	t͡ʃ i b̤ e r u ŋ
cibeunying	t͡ʃ i b̤ e u ɲ i ŋ
cibeureum	t͡ʃ i b̤ e u r e u m
cibingbin	t͡ʃ i b̤ i ŋ b̤ i n
cibinong	t͡ʃ i b̤ i n o ŋ
cibiru	t͡ʃ i b̤ i r u
cibitung	t͡ʃ i b̤ i t u ŋ
cibiuk	t͡ʃ i b̤ i u k
cibiyuk	t͡ʃ i b̤ i j u k
ciblon	t͡ʃ i b̤ l o n
cibodas	t͡ʃ i b̤ o d̪̤ a s
cibogo	t͡ʃ i b̤ o ɡ̤ o
cibuaya	t͡ʃ i b̤ u a j a
cibubur	t͡ʃ i b̤ u b̤ u r
cibugel	t͡ʃ i b̤ u ɡ̤ e l
cibulan	t͡ʃ i b̤ u l a n
cibunar	t͡ʃ i b̤ u n a r
cibungbulang	t͡ʃ i b̤ u ŋ b̤ u l a ŋ
cibungur	t͡ʃ i b̤ u ŋ u r
cibuniwangi	t͡ʃ i b̤ u n i w a ŋ i
ciburuy	t͡ʃ i b̤ u r u j
cibuyur	t͡ʃ i b̤ u j u r
cicadhas	t͡ʃ i t͡ʃ a ɖ̤ a s
cicalengka	t͡ʃ i t͡ʃ a l e ŋ k a
cicantayan	t͡ʃ i t͡ʃ a n t a j a n
ciccioli	t͡ʃ i t͡ʃ t͡ʃ i o l i
cicendho	t͡ʃ i t͡ʃ e n ɖ̤ o
cicendo	t͡ʃ i t͡ʃ e n d̪̤ o
ciceri	t͡ʃ i t͡ʃ e r i
cicero	t͡ʃ i t͡ʃ e r o
cici	t͡ʃ i t͡ʃ i
cicurug	t͡ʃ i t͡ʃ u r u ɡ̤
cicuta	t͡ʃ i t͡ʃ u t a
cidadap	t͡ʃ i d̪̤ a d̪̤ a p
cidahu	t͡ʃ i d̪̤ a h u
cidaun	t͡ʃ i d̪̤ a u n
cidhadhap	t͡ʃ i ɖ̤ a ɖ̤ a p
cidhahu	t͡ʃ i ɖ̤ a h u
cidher	t͡ʃ i ɖ̤ e r
cidholog	t͡ʃ i ɖ̤ o l o ɡ̤
cidhuk	t͡ʃ i ɖ̤ u k
cidomo	t͡ʃ i d̪̤ o m o
cidora	t͡ʃ i d̪̤ o r a
ciduwet	t͡ʃ i d̪̤ u w e t
ciechan	t͡ʃ i e t͡ʃ h a n
ciechanover	t͡ʃ i e t͡ʃ h a n o v e r
ciechanowiec	t͡ʃ i e t͡ʃ h a n o w i e t͡ʃ
ciechocinek	t͡ʃ i e t͡ʃ h o t͡ʃ i n e k
ciela	t͡ʃ i e l a
ciemas	t͡ʃ i e m a s
ciesin	t͡ʃ i e s i n
cieszan	t͡ʃ i e s z a n
cieszyn	t͡ʃ i e s z j n
cifantuan	t͡ʃ i f a n t u a n
cigadhung	t͡ʃ i ɡ̤ a ɖ̤ u ŋ
cigadung	t͡ʃ i ɡ̤ a d̪̤ u ŋ
cigalontang	t͡ʃ i ɡ̤ a l o n t a ŋ
cigandamekar	t͡ʃ i ɡ̤ a n d̪̤ a m e k a r
ciganjur	t͡ʃ i ɡ̤ a n d͡ʒ̤ u r
cigasong	t͡ʃ i ɡ̤ a s o ŋ
cigedog	t͡ʃ i ɡ̤ e d̪̤ o ɡ̤
cigedug	t͡ʃ i ɡ̤ e d̪̤ u ɡ̤
cigeulis	t͡ʃ i ɡ̤ e u l i s
cigintung	t͡ʃ i ɡ̤ i n t u ŋ
cigobang	t͡ʃ i ɡ̤ o b̤ a ŋ
cigudeg	t͡ʃ i ɡ̤ u d̪̤ e ɡ̤
cigugur	t͡ʃ i ɡ̤ u ɡ̤ u r
cihampelas	t͡ʃ i h a m p e l a s
cihaur	t͡ʃ i h a u r
cihaurbeuti	t͡ʃ i h a u r b̤ e u t i
cihideung	t͡ʃ i h i d̪̤ e u ŋ
cihonj	t͡ʃ i h o n d͡ʒ̤
cihonje	t͡ʃ i h o n d͡ʒ̤ e
cihurip	t͡ʃ i h u r i p
cijaku	t͡ʃ i d͡ʒ̤ a k u
cijamb	t͡ʃ i d͡ʒ̤ a m b̤
cijati	t͡ʃ i d͡ʒ̤ a t i
cijeruk	t͡ʃ i d͡ʒ̤ e r u k
cijeungjing	t͡ʃ i d͡ʒ̤ e u ŋ d͡ʒ̤ i ŋ
cijoro	t͡ʃ i d͡ʒ̤ o r o
cijulang	t͡ʃ i d͡ʒ̤ u l a ŋ
cik	t͡ʃ i k
cikadu	t͡ʃ i k a d̪̤ u
cikajang	t͡ʃ i k a d͡ʒ̤ a ŋ
cikakak	t͡ʃ i k a k a k
cikalahang	t͡ʃ i k a l a h a ŋ
cikalong	t͡ʃ i k a l o ŋ
cikamp	t͡ʃ i k a m p
cikampek	t͡ʃ i k a m p e k
cikancas	t͡ʃ i k a n t͡ʃ a s
cikancung	t͡ʃ i k a n t͡ʃ u ŋ
cikandang	t͡ʃ i k a n d̪̤ a ŋ
cikande	t͡ʃ i k a n d̪̤ e
cikandhang	t͡ʃ i k a n ɖ̤ a ŋ
cikar	t͡ʃ i k a r
cikarang	t͡ʃ i k a r a ŋ
cikaso	t͡ʃ i k a s o
cikatomas	t͡ʃ i k a t o m a s
cikaum	t͡ʃ i k a u m
cikawung	t͡ʃ i k a w u ŋ
cikedal	t͡ʃ i k e d̪̤ a l
cikedondong	t͡ʃ i k e d̪̤ o n d̪̤ o ŋ
cikeduk	t͡ʃ i k e d̪̤ u k
cikedung	t͡ʃ i k e d̪̤ u ŋ
cikelet	t͡ʃ i k e l e t
cikembar	t͡ʃ i k e m b̤ a r
cikembulan	t͡ʃ i k e m b̤ u l a n
cikendung	t͡ʃ i k e n d̪̤ u ŋ
cikeusal	t͡ʃ i k e u s a l
cikeusik	t͡ʃ i k e u s i k
cikidang	t͡ʃ i k i d̪̤ a ŋ
cikijing	t͡ʃ i k i d͡ʒ̤ i ŋ
ciklapa	t͡ʃ i k l a p a
cikoko	t͡ʃ i k o k o
cikol	t͡ʃ i k o l
cikon	t͡ʃ i k o n
cikrak	t͡ʃ i k r a k
cikulak	t͡ʃ i k u l a k
cikulur	t͡ʃ i k u l u r
cikupa	t͡ʃ i k u p a
cikura	t͡ʃ i k u r a
cikuya	t͡ʃ i k u j a
cil	t͡ʃ i l
cilacap	t͡ʃ i l a t͡ʃ a p
cilaku	t͡ʃ i l a k u
cilamaya	t͡ʃ i l a m a j a
cilandak	t͡ʃ i l a n d̪̤ a k
cilandhak	t͡ʃ i l a n ɖ̤ a k
cilangkap	t͡ʃ i l a ŋ k a p
cilapar	t͡ʃ i l a p a r
cilawu	t͡ʃ i l a w u
cilebak	t͡ʃ i l e b̤ a k
ciledhug	t͡ʃ i l e ɖ̤ u ɡ̤
ciledug	t͡ʃ i l e d̪̤ u ɡ̤
cilegon	t͡ʃ i l e ɡ̤ o n
cileles	t͡ʃ i l e l e s
cilember	t͡ʃ i l e m b̤ e r
cilempuyang	t͡ʃ i l e m p u j a ŋ
cilengkrang	t͡ʃ i l e ŋ k r a ŋ
cileungsi	t͡ʃ i l e u ŋ s i
cileunyi	t͡ʃ i l e u ɲ i
ciliata	t͡ʃ i l i a t a
cilibang	t͡ʃ i l i b̤ a ŋ
cilibur	t͡ʃ i l i b̤ u r
cilik	t͡ʃ i l i k
cililin	t͡ʃ i l i l i n
cilimus	t͡ʃ i l i m u s
cilincing	t͡ʃ i l i n t͡ʃ i ŋ
cilograng	t͡ʃ i l o ɡ̤ r a ŋ
cilok	t͡ʃ i l o k
cilongkrang	t͡ʃ i l o ŋ k r a ŋ
cilongok	t͡ʃ i l o ŋ o k
cilopadang	t͡ʃ i l o p a d̪̤ a ŋ
cilukba	t͡ʃ i l u k b̤ a
cilukrak	t͡ʃ i l u k r a k
cilumping	t͡ʃ i l u m p i ŋ
cimabue	t͡ʃ i m a b̤ u e
cimahi	t͡ʃ i m a h i
cimalaka	t͡ʃ i m a l a k a
cimangeunteung	t͡ʃ i m a ŋ e u n t e u ŋ
cimanggis	t͡ʃ i m a ŋ ɡ̤ i s
cimanggu	t͡ʃ i m a ŋ ɡ̤ u
cimanggung	t͡ʃ i m a ŋ ɡ̤ u ŋ
cimanuk	t͡ʃ i m a n u k
cimaragas	t͡ʃ i m a r a ɡ̤ a s
cimarga	t͡ʃ i m a r ɡ̤ a
cimaung	t͡ʃ i m a u ŋ
cimenyan	t͡ʃ i m e ɲ a n
cimerak	t͡ʃ i m e r a k
cimohong	t͡ʃ i m o h o ŋ
cimol	t͡ʃ i m o l
cimorelli	t͡ʃ i m o r e l l i
cimpa	t͡ʃ i m p a
cimrutu	t͡ʃ i m r u t u
cimundhing	t͡ʃ i m u n ɖ̤ i ŋ
cimunding	t͡ʃ i m u n d̪̤ i ŋ
cin	t͡ʃ i n
cina	t͡ʃ i n a
cinanas	t͡ʃ i n a n a s
cinangka	t͡ʃ i n a ŋ k a
cinangsi	t͡ʃ i n a ŋ s i
cinatur	t͡ʃ i n a t u r
cincalok	t͡ʃ i n t͡ʃ a l o k
cincang	t͡ʃ i n t͡ʃ a ŋ
cincau	t͡ʃ i n t͡ʃ a u
cinchona	t͡ʃ i n t͡ʃ h o n a
cincim	t͡ʃ i n t͡ʃ i m
cincin	t͡ʃ i n t͡ʃ i n
cincing	t͡ʃ i n t͡ʃ i ŋ
cincinnati	t͡ʃ i n t͡ʃ i n n a t i
cindaga	t͡ʃ i n d̪̤ a ɡ̤ a
cindai	t͡ʃ i n d̪̤ a i
cindana	t͡ʃ i n d̪̤ a n a
cindek	t͡ʃ i n d̪̤ e k
cinder	t͡ʃ i n d̪̤ e r
cinderella	t͡ʃ i n d̪̤ e r e l l a
cindh	t͡ʃ i n ɖ̤
cindhil	t͡ʃ i n ɖ̤ i l
cindy	t͡ʃ i n d̪̤ j
cineam	t͡ʃ i n e a m
cingambul	t͡ʃ i ŋ a m b̤ u l
cingebul	t͡ʃ i ŋ e b̤ u l
cingkarabala	t͡ʃ i ŋ k a r a b̤ a l a
cingkrong	t͡ʃ i ŋ k r o ŋ
cinglat	t͡ʃ i ŋ l a t
ciniru	t͡ʃ i n i r u
cinnamons	t͡ʃ i n n a m o n s
cino	t͡ʃ i n o
cinta	t͡ʃ i n t a
cintajaya	t͡ʃ i n t a d͡ʒ̤ a j a
cintamanik	t͡ʃ i n t a m a n i k
cintapuri	t͡ʃ i n t a p u r i
cinten	t͡ʃ i n t e n
cintrong	t͡ʃ i n t r o ŋ
ciny	t͡ʃ i ɲ
cinyawang	t͡ʃ i ɲ a w a ŋ
ciomas	t͡ʃ i o m a s
cioppino	t͡ʃ i o p p i n o
ciorb	t͡ʃ i o r b̤
cipajang	t͡ʃ i p a d͡ʒ̤ a ŋ
cipaku	t͡ʃ i p a k u
cipanas	t͡ʃ i p a n a s
ciparay	t͡ʃ i p a r a j
cipari	t͡ʃ i p a r i
cipatat	t͡ʃ i p a t a t
cipatujah	t͡ʃ i p a t u d͡ʒ̤ a h
cipawon	t͡ʃ i p a w o n
cipayung	t͡ʃ i p a j u ŋ
cipedhes	t͡ʃ i p e ɖ̤ e s
cipelem	t͡ʃ i p e l e m
cipendok	t͡ʃ i p e n d̪̤ o k
cipera	t͡ʃ i p e r a
ciperna	t͡ʃ i p e r n a
cipet	t͡ʃ i p e t
cipete	t͡ʃ i p e t e
cipetung	t͡ʃ i p e t u ŋ
cipeucang	t͡ʃ i p e u t͡ʃ a ŋ
cipeujeuh	t͡ʃ i p e u d͡ʒ̤ e u h
cipeundeuy	t͡ʃ i p e u n d̪̤ e u j
cipicung	t͡ʃ i p i t͡ʃ u ŋ
cipinang	t͡ʃ i p i n a ŋ
cipir	t͡ʃ i p i r
ciplukan	t͡ʃ i p l u k a n
cipocok	t͡ʃ i p o t͡ʃ o k
cipolla	t͡ʃ i p o l l a
cipondoh	t͡ʃ i p o n d̪̤ o h
cipongkor	t͡ʃ i p o ŋ k o r
ciporos	t͡ʃ i p o r o s
cipto	t͡ʃ i p t o
cipularang	t͡ʃ i p u l a r a ŋ
cipulir	t͡ʃ i p u l i r
cipunagara	t͡ʃ i p u n a ɡ̤ a r a
ciputat	t͡ʃ i p u t a t
ciputih	t͡ʃ i p u t i h
ciputra	t͡ʃ i p u t r a
cir	t͡ʃ i r
ciracap	t͡ʃ i r a t͡ʃ a p
ciracas	t͡ʃ i r a t͡ʃ a s
cirahab	t͡ʃ i r a h a b̤
ciranggem	t͡ʃ i r a ŋ ɡ̤ e m
ciranjang	t͡ʃ i r a n d͡ʒ̤ a ŋ
circinus	t͡ʃ i r t͡ʃ i n u s
cirebon	t͡ʃ i r e b̤ o n
cirebonan	t͡ʃ i r e b̤ o n a n
cireunghas	t͡ʃ i r e u ŋ h a s
ciri	t͡ʃ i r i
cirkin	t͡ʃ i r k i n
cirrus	t͡ʃ i r r u s
ciruas	t͡ʃ i r u a s
ciruyung	t͡ʃ i r u j u ŋ
cis	t͡ʃ i s
cisaat	t͡ʃ i s a a t
cisaga	t͡ʃ i s a ɡ̤ a
cisalak	t͡ʃ i s a l a k
cisampih	t͡ʃ i s a m p i h
cisarua	t͡ʃ i s a r u a
cisata	t͡ʃ i s a t a
cisauk	t͡ʃ i s a u k
cisayong	t͡ʃ i s a j o ŋ
ciseureuh	t͡ʃ i s e u r e u h
cisewu	t͡ʃ i s e w u
cisimeut	t͡ʃ i s i m e u t
cisitu	t͡ʃ i s i t u
cisoka	t͡ʃ i s o k a
cisolok	t͡ʃ i s o l o k
cisompet	t͡ʃ i s o m p e t
cisumur	t͡ʃ i s u m u r
cisuru	t͡ʃ i s u r u
cisurupan	t͡ʃ i s u r u p a n
citadis	t͡ʃ i t a d̪̤ i s
citak	t͡ʃ i t a k
citakan	t͡ʃ i t a k a n
citamiang	t͡ʃ i t a m i a ŋ
citangkil	t͡ʃ i t a ŋ k i l
citare	t͡ʃ i t a r e
citembong	t͡ʃ i t e m b̤ o ŋ
citemu	t͡ʃ i t e m u
citepus	t͡ʃ i t e p u s
citeras	t͡ʃ i t e r a s
cites	t͡ʃ i t e s
citeureup	t͡ʃ i t e u r e u p
cithakan	t͡ʃ i ʈ a k a n
cithakant	t͡ʃ i ʈ a k a n t
citibank	t͡ʃ i t i b̤ a n k
citilink	t͡ʃ i t i l i n k
citimbang	t͡ʃ i t i m b̤ a ŋ
citizen	t͡ʃ i t i z e n
citr	t͡ʃ i t r
citra	t͡ʃ i t r a
citraan	t͡ʃ i t r a a n
citradharma	t͡ʃ i t r a ɖ̤ a r m a
citrakala	t͡ʃ i t r a k a l a
citraketaka	t͡ʃ i t r a k e t a k a
citraksa	t͡ʃ i t r a k s a
citraksi	t͡ʃ i t r a k s i
citrakunda	t͡ʃ i t r a k u n d̪̤ a
citralak	t͡ʃ i t r a l a k
citralaksya	t͡ʃ i t r a l a k s j a
citralekh	t͡ʃ i t r a l e k h
citrangga	t͡ʃ i t r a ŋ ɡ̤ a
citranggada	t͡ʃ i t r a ŋ ɡ̤ a d̪̤ a
citrara	t͡ʃ i t r a r a
citrasana	t͡ʃ i t r a s a n a
citrasanda	t͡ʃ i t r a s a n d̪̤ a
citrasraya	t͡ʃ i t r a s r a j a
citraturida	t͡ʃ i t r a t u r i d̪̤ a
citrawarman	t͡ʃ i t r a w a r m a n
citrawati	t͡ʃ i t r a w a t i
citrawil	t͡ʃ i t r a w i l
citrus	t͡ʃ i t r u s
city	t͡ʃ i t j
cityflyer	t͡ʃ i t j f l j e r
ciu	t͡ʃ i u
ciuyah	t͡ʃ i u j a h
civitaluparella	t͡ʃ i v i t a l u p a r e l l a
civitavecchia	t͡ʃ i v i t a v e t͡ʃ t͡ʃ h i a
civitella	t͡ʃ i v i t e l l a
ciwalen	t͡ʃ i w a l e n
ciwandan	t͡ʃ i w a n d̪̤ a n
ciwaringin	t͡ʃ i w a r i ŋ i n
ciwaru	t͡ʃ i w a r u
ciwidey	t͡ʃ i w i d̪̤ e j
ciwuni	t͡ʃ i w u n i
cixi	t͡ʃ i ks i
cj	t͡ʃ d͡ʒ̤
ckerli	t͡ʃ k e r l i
ckowice	t͡ʃ k o w i t͡ʃ e
cl	t͡ʃ l
clabber	t͡ʃ l a b̤ b̤ e r
claessens	t͡ʃ l a e s s e n s
clafoutis	t͡ʃ l a f o u t i s
claire	t͡ʃ l a i r e
clana	t͡ʃ l a n a
clanger	t͡ʃ l a ŋ e r
clannad	t͡ʃ l a n n a d̪̤
clapar	t͡ʃ l a p a r
clapshot	t͡ʃ l a p s h o t
clara	t͡ʃ l a r a
clare	t͡ʃ l a r e
clarissa	t͡ʃ l a r i s s a
clark	t͡ʃ l a r k
clarke	t͡ʃ l a r k e
clash	t͡ʃ l a s h
claude	t͡ʃ l a u d̪̤ e
claudemir	t͡ʃ l a u d̪̤ e m i r
claudia	t͡ʃ l a u d̪̤ i a
claudio	t͡ʃ l a u d̪̤ i o
claudius	t͡ʃ l a u d̪̤ i u s
clavicula	t͡ʃ l a v i t͡ʃ u l a
clayton	t͡ʃ l a j t o n
clebek	t͡ʃ l e b̤ e k
clebung	t͡ʃ l e b̤ u ŋ
cledok	t͡ʃ l e d̪̤ o k
clekatakan	t͡ʃ l e k a t a k a n
clemente	t͡ʃ l e m e n t e
cleopatra	t͡ʃ l e o p a t r a
cleres	t͡ʃ l e r e s
clering	t͡ʃ l e r i ŋ
cleveland	t͡ʃ l e v e l a n d̪̤
clifford	t͡ʃ l i f f o r d̪̤
clift	t͡ʃ l i f t
clint	t͡ʃ l i n t
clinton	t͡ʃ l i n t o n
clive	t͡ʃ l i v e
clootie	t͡ʃ l o o t i e
clorophyta	t͡ʃ l o r o p h j t a
clorot	t͡ʃ l o r o t
close	t͡ʃ l o s e
closed	t͡ʃ l o s e d̪̤
cloudy	t͡ʃ l o u d̪̤ j
club	t͡ʃ l u b̤
clube	t͡ʃ l u b̤ e
clubeighties	t͡ʃ l u b̤ e i ɡ̤ h t i e s
clueless	t͡ʃ l u e l e s s
cluj	t͡ʃ l u d͡ʒ̤
clumprit	t͡ʃ l u m p r i t
clunthang	t͡ʃ l u n ʈ a ŋ
cluring	t͡ʃ l u r i ŋ
clurit	t͡ʃ l u r i t
clurut	t͡ʃ l u r u t
cluwak	t͡ʃ l u w a k
cluwuk	t͡ʃ l u w u k
clyde	t͡ʃ l j d̪̤ e
cm	t͡ʃ m
cn	t͡ʃ n
cnam	t͡ʃ n a m
cnidaria	t͡ʃ n i d̪̤ a r i a
cns	t͡ʃ n s
co	t͡ʃ o
coats	t͡ʃ o a t s
cobalt	t͡ʃ o b̤ a l t
cobbler	t͡ʃ o b̤ b̤ l e r
cobicistat	t͡ʃ o b̤ i t͡ʃ i s t a t
coblong	t͡ʃ o b̤ l o ŋ
coboy	t͡ʃ o b̤ o j
cobra	t͡ʃ o b̤ r a
coca	t͡ʃ o t͡ʃ a
cocada	t͡ʃ o t͡ʃ a d̪̤ a
coccinella	t͡ʃ o t͡ʃ t͡ʃ i n e l l a
cochinita	t͡ʃ o t͡ʃ h i n i t a
cocido	t͡ʃ o t͡ʃ i d̪̤ o
coco	t͡ʃ o t͡ʃ o
cocol	t͡ʃ o t͡ʃ o l
cocolan	t͡ʃ o t͡ʃ o l a n
cocor	t͡ʃ o t͡ʃ o r
cocos	t͡ʃ o t͡ʃ o s
cod	t͡ʃ o d̪̤
coda	t͡ʃ o d̪̤ a
coddle	t͡ʃ o d̪̤ d̪̤ l e
code	t͡ʃ o d̪̤ e
codex	t͡ʃ o d̪̤ e ks
codhot	t͡ʃ o ɖ̤ o t
codo	t͡ʃ o d̪̤ o
cody	t͡ʃ o d̪̤ j
coelacanth	t͡ʃ o e l a t͡ʃ a n ʈ
coelestis	t͡ʃ o e l e s t i s
coffea	t͡ʃ o f f e a
cohen	t͡ʃ o h e n
cohn	t͡ʃ o h n
cok	t͡ʃ o k
coke	t͡ʃ o k e
cokelat	t͡ʃ o k e l a t
coklat	t͡ʃ o k l a t
cokoran	t͡ʃ o k o r a n
cokot	t͡ʃ o k o t
cokotan	t͡ʃ o k o t a n
cokro	t͡ʃ o k r o
cokrodiningratan	t͡ʃ o k r o d̪̤ i n i ŋ r a t a n
cokrowati	t͡ʃ o k r o w a t i
cokroyasan	t͡ʃ o k r o j a s a n
cola	t͡ʃ o l a
colada	t͡ʃ o l a d̪̤ a
colatura	t͡ʃ o l a t u r a
colby	t͡ʃ o l b̤ j
colcannon	t͡ʃ o l t͡ʃ a n n o n
coldplay	t͡ʃ o l d̪̤ p l a j
cole	t͡ʃ o l e
coleman	t͡ʃ o l e m a n
colenak	t͡ʃ o l e n a k
coleslaw	t͡ʃ o l e s l a w
colin	t͡ʃ o l i n
coliseum	t͡ʃ o l i s e u m
colkett	t͡ʃ o l k e t t
colledimacine	t͡ʃ o l l e d̪̤ i m a t͡ʃ i n e
colledimezzo	t͡ʃ o l l e d̪̤ i m e z z o
collins	t͡ʃ o l l i n s
collodi	t͡ʃ o l l o d̪̤ i
colloseum	t͡ʃ o l l o s e u m
colo	t͡ʃ o l o
colocasia	t͡ʃ o l o t͡ʃ a s i a
cologne	t͡ʃ o l o ɡ̤ n e
cologno	t͡ʃ o l o ɡ̤ n o
colomadu	t͡ʃ o l o m a d̪̤ u
colomba	t͡ʃ o l o m b̤ a
colombia	t͡ʃ o l o m b̤ i a
colombier	t͡ʃ o l o m b̤ i e r
colon	t͡ʃ o l o n
colong	t͡ʃ o l o ŋ
colonia	t͡ʃ o l o n i a
colorado	t͡ʃ o l o r a d̪̤ o
colossus	t͡ʃ o l o s s u s
colugo	t͡ʃ o l u ɡ̤ o
columba	t͡ʃ o l u m b̤ a
columbia	t͡ʃ o l u m b̤ i a
columbiformes	t͡ʃ o l u m b̤ i f o r m e s
columbus	t͡ʃ o l u m b̤ u s
coma	t͡ʃ o m a
comal	t͡ʃ o m a l
combattler	t͡ʃ o m b̤ a t t l e r
combongan	t͡ʃ o m b̤ o ŋ a n
combro	t͡ʃ o m b̤ r o
comet	t͡ʃ o m e t
comics	t͡ʃ o m i t͡ʃ s
coming	t͡ʃ o m i ŋ
comley	t͡ʃ o m l e j
command	t͡ʃ o m m a n d̪̤
commelinales	t͡ʃ o m m e l i n a l e s
commelinids	t͡ʃ o m m e l i n i d̪̤ s
committee	t͡ʃ o m m i t t e e
commodore	t͡ʃ o m m o d̪̤ o r e
common	t͡ʃ o m m o n
commons	t͡ʃ o m m o n s
community	t͡ʃ o m m u n i t j
commuter	t͡ʃ o m m u t e r
como	t͡ʃ o m o
comosus	t͡ʃ o m o s u s
comp	t͡ʃ o m p
company	t͡ʃ o m p a ɲ
compatriots	t͡ʃ o m p a t r i o t s
completo	t͡ʃ o m p l e t o
compreng	t͡ʃ o m p r e ŋ
compsognathus	t͡ʃ o m p s o ɡ̤ n a ʈ u s
computer	t͡ʃ o m p u t e r
comte	t͡ʃ o m t e
comun	t͡ʃ o m u n
comune	t͡ʃ o m u n e
comuni	t͡ʃ o m u n i
con	t͡ʃ o n
conakry	t͡ʃ o n a k r j
conan	t͡ʃ o n a n
concepci	t͡ʃ o n t͡ʃ e p t͡ʃ i
concepcion	t͡ʃ o n t͡ʃ e p t͡ʃ i o n
concetta	t͡ʃ o n t͡ʃ e t t a
conch	t͡ʃ o n t͡ʃ h
concha	t͡ʃ o n t͡ʃ h a
condhong	t͡ʃ o n ɖ̤ o ŋ
condhongcampur	t͡ʃ o n ɖ̤ o ŋ t͡ʃ a m p u r
condhongcatur	t͡ʃ o n ɖ̤ o ŋ t͡ʃ a t u r
condhongsari	t͡ʃ o n ɖ̤ o ŋ s a r i
condi	t͡ʃ o n d̪̤ i
condoleezza	t͡ʃ o n d̪̤ o l e e z z a
condong	t͡ʃ o n d̪̤ o ŋ
condongcampur	t͡ʃ o n d̪̤ o ŋ t͡ʃ a m p u r
condongsari	t͡ʃ o n d̪̤ o ŋ s a r i
condro	t͡ʃ o n d̪̤ r o
confederation	t͡ʃ o n f e d̪̤ e r a t i o n
confetti	t͡ʃ o n f e t t i
confit	t͡ʃ o n f i t
cong	t͡ʃ o ŋ
conggeang	t͡ʃ o ŋ ɡ̤ e a ŋ
congkok	t͡ʃ o ŋ k o k
congkrang	t͡ʃ o ŋ k r a ŋ
congo	t͡ʃ o ŋ o
congot	t͡ʃ o ŋ o t
congrio	t͡ʃ o ŋ r i o
congrock	t͡ʃ o ŋ r o t͡ʃ k
coniolo	t͡ʃ o n i o l o
conn	t͡ʃ o n n
connal	t͡ʃ o n n a l
connecticut	t͡ʃ o n n e t͡ʃ t i t͡ʃ u t
connie	t͡ʃ o n n i e
connolly	t͡ʃ o n n o l l j
connor	t͡ʃ o n n o r
conor	t͡ʃ o n o r
conpoy	t͡ʃ o n p o j
conrad	t͡ʃ o n r a d̪̤
conraua	t͡ʃ o n r a u a
conservapedia	t͡ʃ o n s e r v a p e d̪̤ i a
conservation	t͡ʃ o n s e r v a t i o n
conservatoire	t͡ʃ o n s e r v a t o i r e
consolas	t͡ʃ o n s o l a s
consomm	t͡ʃ o n s o m m
consonant	t͡ʃ o n s o n a n t
constant	t͡ʃ o n s t a n t
constantia	t͡ʃ o n s t a n t i a
constrictor	t͡ʃ o n s t r i t͡ʃ t o r
contagion	t͡ʃ o n t a ɡ̤ i o n
conte	t͡ʃ o n t e
conthong	t͡ʃ o n ʈ o ŋ
conti	t͡ʃ o n t i
conto	t͡ʃ o n t o
converter	t͡ʃ o n v e r t e r
conzano	t͡ʃ o n z a n o
coolidge	t͡ʃ o o l i d̪̤ ɡ̤ e
cooper	t͡ʃ o o p e r
cop	t͡ʃ o p
copa	t͡ʃ o p a
copepoda	t͡ʃ o p e p o d̪̤ a
copok	t͡ʃ o p o k
coppa	t͡ʃ o p p a
